event_code,name,phone,sponsor,zone
ATSH-HCM-2026,Nguyen Minh Anh,0901 234 567,Pepsi,SVIP
ATSH-HCM-2026,Tran Bao Chau,+84 902 345 678,Pepsi,VIP
ATSH-HCM-2026,Le Quang Huy,0903-456-789,Shopee,CAT1
ATVNCG-HN-2026,Pham Gia Han,0911 111 222,VinFast,SVIP
ATVNCG-HN-2026,Doan Hoang Nam,+84 912 222 333,VinFast,VIP
ATVNCG-HN-2026,Bui Thanh Lam,0913-333-444,Viettel,CAT2
EXSH-HCM-2026,Vo Ngoc Mai,0921 444 555,MoMo,SVIP
EXSH-HCM-2026,Dang Thuy Linh,+84 922 555 666,MoMo,VIP
EXSH-HCM-2026,Hoang Minh Khoa,0923-666-777,ZaloPay,GA
CDDG-HN-2026,Nguyen Thao Vy,0931 777 888,PNJ,SVIP
CDDG-HN-2026,Le Hoai Phuong,+84 932 888 999,PNJ,VIP
CDDG-HN-2026,Tran Kim Oanh,0933-999-000,Highlands Coffee,CAT1
